Bank of India,BOI,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
Bank of Mah,BM05,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
BASF,BAS,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
Bata India,BI01,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
Bayer CropScien,BC12,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12
BEML,BEM03,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03
Berger Paints,BPI02,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
BF Utilities,BFU,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU
Bharat Elec,BE03,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
Bharat Fin,SM11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11
Bharat Forge,BF03,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03
Bharti Airtel,BA08,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08
Bharti Infratel,BI14,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14
BHEL,BHE,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
Biocon,BL03,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
Birla Corp,BC07,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
Birlasoft,KPI02,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/birlasoft/KPI02
Bliss GVS,BGV,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
Blue Dart,BDE,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Blue Star,BS,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
Bombay Burmah,BBT,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
Bombay Dyeing,BDM,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM
Bosch,B05,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
BPCL,BPC,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Britannia,BI,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Cadila Health,CHC,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
Can Fin Homes,CFH,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
Canara Bank,CB06,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
Capital First,FCH,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH
Caplin Labs,CPL,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
Carborundum,CU,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
CARE,CAR,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR
Castrol,CI01,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CCL Products,CC10,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
Ceat,C07,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
Central Bank,CBO01,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
Century,CTI,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI
CenturyPlyboard,CP9,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
Cera Sanitary,CS18,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CESC,CES,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES
CG Consumer,CGC01,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CG Power,CG,http://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG
